source_text,tone,target_text,,,
അവൻ പറഞ്ഞത് കേട്ടോ?,informal,Did you hear what he said?,,,
ഇത് ഒന്ന് മാറ്റി വെക്കൂ,informal,Keep this aside,,,
ഇന്നത്തെ കളി നന്നായിരുന്നു,informal,Today’s game was good,,,
അവിടെ നിന്നാൽ അപകടമാണ്,informal,It’s dangerous to stand there,,,
വൈകിട്ട് മഴ പെയ്യും,informal,It will rain in the evening,,,
ഇത് ഞാൻ തന്നെ നോക്കാം,informal,I’ll handle this,,,
അവൾ ഇപ്പോൾ ഫ്രീയല്ല,informal,She’s not free right now,,,
നാളെ പെട്ടെന്ന് വരണം,informal,Come early tomorrow,,,
ഇവിടെ സിഗ്നൽ കിട്ടുന്നില്ല,informal,There’s no signal here,,,
അവൻ കുറച്ച് ദേഷ്യത്തിലാണ്,informal,He’s a bit angry,,,
ഇത് ശരിയാകില്ല,informal,This won’t work,,,
അവിടെ ഭക്ഷണം നന്നാണ്,informal,The food there is good,,,
ഇത് എവിടെ നിന്നു വാങ്ങി?,informal,Where did you buy this from?,,,
ഇന്നലെ നല്ല തണുപ്പായിരുന്നു,informal,It was very cold yesterday,,,
ഇവിടെ ശബ്ദം കുറയ്ക്കൂ,informal,Lower the noise here,,,
അവൻ ഇന്ന് വരുമെന്നു പറഞ്ഞു,informal,He said he would come today,,,
കുറച്ച് കൂടി കാത്തിരിക്കാം,informal,Let’s wait a bit more,,,
ഇവിടെ കയറിയാൽ മതി,informal,You can come in here,,,
അവൾക്ക് വിഷമമുണ്ട്,informal,She is upset,,,
ഇന്ന് ട്രാഫിക് കിടിലം,informal,The traffic is terrible today,,,
അവിടെ നിന്ന് മാറി നിൽക്കൂ,informal,Move away from there,,,
ഇത് ഞാൻ മറന്നുപോയി,informal,I forgot this,,,
അവൻ നേരത്തെ പോയി,informal,He left early,,,
ഇന്നത്തെ ദിവസം നന്നായി പോയി,informal,Today went well,,,
അവിടെ ആളുകൾ കുറവാണ്,informal,There are fewer people there,,,
മഴ നിശ്ശബ്ദമായി നിലം തൊട്ടു,poetic,The rain touched the ground silently,,,
പുലരിയിൽ വെളിച്ചം പിറന്നു,poetic,Light was born at dawn,,,
കടൽ സ്വപ്നങ്ങൾ ഒളിപ്പിച്ചു,poetic,The sea hid its dreams,,,
കാറ്റ് വഴികൾ തേടി,poetic,The wind searched for paths,,,
സന്ധ്യ നിഴലായി വീണു,poetic,Evening fell as a shadow,,,
നിലാവ് ചിന്തകളെ തൊട്ടു,poetic,Moonlight touched thoughts,,,
പക്ഷികൾ പുലരിയെ വരവേറ്റു,poetic,Birds welcomed the dawn,,,
വെയിൽ ചുവടുകളിൽ പതിഞ്ഞു,poetic,Sunlight clung to footsteps,,,
മഴ ഓർമ്മകളായി,poetic,Rain became memories,,,
നദി സമയം കൊണ്ടുപോയി,poetic,The river carried time away,,,
രാത്രി മൗനം ധരിച്ചു,poetic,Night wore silence,,,
കുന്നുകൾ കഥ പറഞ്ഞു,poetic,The hills told stories,,,
സൂര്യൻ അസ്തമിച്ചു,poetic,The sun set,,,
കാറ്റ് പാട്ടായി,poetic,The wind became a song,,,
വഴികൾ ശൂന്യമായി,poetic,The roads turned empty,,,
പുലരി പ്രതീക്ഷയായി,poetic,Dawn became hope,,,
മഞ്ഞ് കുന്നുകളിൽ പതിഞ്ഞു,poetic,Mist settled on the hills,,,
കടൽ ശ്വാസമെടുത്തു,poetic,The sea took a breath,,,
നിലാവ് കാത്തുനിന്നു,poetic,The moon waited,,,
നഗരം ഉറങ്ങിപ്പോയി,poetic,The city fell asleep,,,
മഴ വീണ്ടും കഥ പറഞ്ഞു,poetic,The rain told another story,,,
വാക്കുകൾ മൗനമായി,poetic,Words turned silent,,,
നിഴലുകൾ നീണ്ടു,poetic,Shadows stretched,,,
സമയം പതുക്കെ നീങ്ങി,poetic,Time moved slowly,,,
പുലരിയിൽ ചിരി വിരിഞ്ഞു,poetic,A smile bloomed at dawn,,,
കാറ്റ് ഓർമ്മകളെ ഉണർത്തി,poetic,The wind awakened memories,,,
സന്ധ്യ കാത്തിരിപ്പായി,poetic,Evening became waiting,,,
വെയിൽ മങ്ങിപ്പോയി,poetic,The sunlight faded,,,
നദി പാട്ടുപാടി,poetic,The river sang,,,
രാത്രി നീണ്ടു,poetic,The night stretched on,,,
മഴ മണ്ണിനെ ചുംബിച്ചു,poetic,Rain kissed the earth,,,
ആകാശം നിറഞ്ഞു,poetic,The sky filled up,,,
സ്വപ്നങ്ങൾ യാത്രയായി,poetic,Dreams became a journey,,,
കാക്കത്തോളായിരം കിനാവും ദുനിയാവിന്റെ കോണിൽ നമ്മളും,poetic,A thousand crow-colored dreams and us in a corner of the world,,,
പിരിശം പൂത്ത് കണ്ണ് നട്ടു നിൽക്കുന്ന ഓർമ്മകൾ,poetic,Memories that bloomed and stood watching with open eyes,,,
സങ്കടങ്ങൾ പേറിയ ഖൽബ് പടച്ചോനിലേകിയ കരങ്ങളായി,poetic,"A heart carrying sorrow, hands offered to the Creator",,,
സുജൂദിലാണ്ട് പോയ ഇൻസാനുകളുടെ പ്രാർത്ഥന,poetic,The prayer of humans lost in prostration,,,
മുസല്ലയുടെ ഉപ്പുചുവയിൽ ആത്മാവ് തങ്ങി,poetic,The soul lingered in the salty scent of the prayer mat,,,
മദീനയുടെ തണുപ്പിൽ കിനാവുകൾ വിശ്രമിച്ചു,poetic,Dreams rested in the coolness of Madinah,,,
സ്നേഹത്തിൽ അലിഞ്ഞ നിന്റെ പൊരുത്തം,poetic,Your harmony dissolved in love,,,
കുറ്റബോധമില്ലാത്ത ഖൽബ് ശാന്തമായി,poetic,A guiltless heart resting in peace,,,
കട്ടിയുള്ള മനസ്സും ഇന്ന് ദുആയായി,poetic,Even a hardened mind became a prayer today,,,
ആത്മാർത്ഥമായ ദുആയായി ഞാൻ നിന്നെ ചിന്തിച്ചു,poetic,I thought of you as a sincere prayer,,,
പ്രണയത്തിനിടയിൽ മറഞ്ഞ വഞ്ചനയുടെ നിഴൽ,poetic,The shadow of betrayal hidden within love,,,
മനസ്സിനെ കബളിപ്പിച്ച ഓർമ്മകൾ ഉള്ളിൽ നിറഞ്ഞു,poetic,Memories that deceived the heart filled the inside,,,
വീണ്ടും കാണുമെന്ന പ്രതീക്ഷ ശ്വാസമായി,poetic,The hope of meeting again became breath,,,
സ്നേഹത്തിന്റെ അൽപായസ്സാണ് മനുഷ്യന്റെ സൗന്ദര്യം,poetic,The short life of love is the beauty of humanity,,,
വീട് വിട്ട് മാറിയപ്പോൾ ശൂന്യത മാത്രം ബാക്കി,poetic,Only emptiness remained after leaving home,,,
ആരാലും നികത്താൻ കഴിയാത്ത ശൂന്യത,poetic,A void that no one can fill,,,
സ്വത്വം തിരികെ വരാൻ കൊതിക്കുന്ന മനസ്സ്,poetic,A heart longing for its identity to return,,,
ആരോ ആയി മാറിയ നമ്മളില്ല അന്ന്,poetic,"That day, we were not what we had become",,,
പലർക്കും പലതായ നമ്മൾ മാത്രം ബാക്കി,poetic,"We remained, many things to many people",,,
ഓരോ വർഷവും നമ്മൾ പുതിയ നമ്മളായി,poetic,"Each year, we became new versions of ourselves",,,
സമയം നമ്മളെ പതുക്കെ മാറ്റി,poetic,Time slowly transformed us,,,
ദയവായി യോഗത്തിന് സമയത്ത് എത്തിച്ചേരുക,formal,Please arrive at the meeting on time,,,
നിങ്ങളുടെ അപേക്ഷ സ്വീകരിച്ചിട്ടുണ്ടെന്ന് അറിയിക്കുന്നു,formal,This is to inform you that your application has been received,,,
ഇന്നത്തെ സേവനം വൈകുന്നതിൽ ഖേദിക്കുന്നു,formal,We regret the delay in today’s service,,,
ദയവായി രേഖകൾ സമർപ്പിക്കണമെന്ന് അഭ്യർത്ഥിക്കുന്നു,formal,Kindly submit the documents,,,
നാളെ രാവിലെ ഓഫീസിൽ ഹാജരാകേണ്ടതാണ്,formal,You are required to report to the office tomorrow morning,,,
നിങ്ങളുടെ സഹകരണത്തിന് നന്ദി,formal,Thank you for your cooperation,,,
